customer_message,predicted_intent,generated_response,response_present,actionable,safe,intent_relevant,quality_score,quality
My UPS driver knows my office building closes at 5. Apparently your driver doesn’t.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
They work then they crash or the audio doesn’t match up with what’s happening,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
my package for Amazon pantry is delayed and UPS has no info. Having it delivered to a hotel where I'm checking out tomorrow. If it doesn't come today I don't want it. I was promised prime delivery,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Echo Dot in India doesn't have any India specific apps? Even for traffic it's not taking India address (1/3),Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Shortly doesn't have any time frame? Such useless service of yours. #Amazonloosers,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
It doesn’t give me any company name or phone number.,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"So messed up my Fire Emblem Warriors pre-order and I still don't have it, fuming doesn't even cover it",Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"If you take a look at the picture, you’ll see all the text is in one column. It doesn’t move left to right while typing.",Product / App / Website Issue,"I'm sorry you're experiencing an issue with the Amazon website or app. Please try refreshing the page or restarting the app. If the problem continues, please contact Amazon support.",True,True,True,True,4,GOOD
done. Hope someone helps and just doesn't give us false promises this time🙄,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
About 2 seconds away from ending my membership. I've literally NEVER had so many problems with account security & customer service before when shopping online. ✌️ out ...it was mediocre while it lasted.,Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
how my problem will be resolved then? i have paid online and my order is being returned and your customer care is useless. what to do now?,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I’ve had problem with my account which have been blocked from past three months and least assisted by your customer service team.,Account / Login / Security,"For account or login issues, please use Amazon's official account support options. For your security, do not share passwords, verification codes, or other sensitive information in a public message.",True,True,False,True,3,PARTIAL
"Amazons new AMZL US has the worst tracking service ever, never correct delivery dates, or times. I pay for prime for the worst service 🙄",Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
This has been a harrowing experience and not what is known for in customer service. Still is unresolved - no real help from anyone,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Yes what it was one item in my cart was holding it up. Apparently there was an issue with the item and or seller and the place order wouldn’t go through the page just kept reloading. One of Amazons customer service from home folks helped me troubleshoot and track down the issue.,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"Every single order (3) in the past week has been late when shipped by . I have not received customer service that has been satisfactory and the last package, I walked to USPS to pick up myself. Please make this right...",Delivery Delay,"I'm sorry that your order has been delayed. Please check the latest tracking information and estimated delivery date. If the order is already past the expected date, please contact Amazon support so they can look into the delivery.",True,True,True,True,4,GOOD
"#Worst experience with you ever, #wrong shipment details provided, #order #cancelled after 6 days without any intimation, #No #refund till date #customer service executive talked in very rude language & hang up without listening anything. #ridiculous services.",Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Had the best customer service ever. The woman was from Jamaica and sang Bob Marley down the phone to me...,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
1__credit_card__ Your customer support is horrible,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
is this what teach your customer service team. When in doubt ignore the customer,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
i got locked out of my account never recieved my items customer service rep. was super rude & cant cancel my prime supscription because....my account is still locked,Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I HATE YOUR CUSTOMER SERVICE AHHHHHHHHHHHHH,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
thank you for having the worst customer service. I have been waiting for my money since Sept 19th.,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
#AmazonIndia ... After 20 days and 5 calls and emails to your customer care... i did not receive refund nor the right product,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
please wait for a lawyer notice for your shitty customer service. 404-9431882-1668333 #worstCustomerService #Amazon,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I have already sent a mail yesterday at 9pm & called customer care but no response as of now. Marked mail to Jeff also.#fraud,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
but still my packet is not delivered........no proper response from courier team and amazon customer care.......they r jst delaying my order,Delivered but Not Received,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Your customer service has deteriorated to unbelievable depths.,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"You are right, I am also facing issue with Amazon.their customer service taking too much time to solve any issue.",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I haven’t received any feedback, the status just says waiting to receive item back.",Return / Refund,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I received refund in my bank account thank you Now I am satisfied,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
"Still i have not received this product, this is really really pathetic",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"just received what I believe to be a bogus email, do you want these forwarded to a fraud dept so they can get shut down? #fraud",Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"hi, I’ve just received an email to say I’ve renewed my prime. Never had it. Is this spam? Please help",Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I've still not received any sort of response whether helpful or not. I really expected more from Amazon,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Hey I've received an email from you? claiming to be 'checking user details' and threatening to disable acc 4 non use! Presume it's a #scam ? Acc used a wk ago😉,Account / Login / Security,"For account or login issues, please use Amazon's official account support options. For your security, do not share passwords, verification codes, or other sensitive information in a public message.",True,True,False,True,3,PARTIAL
"Very Disappointed with Amazon.in.This is back to back Second time when i ordered something and got the incorrect/different product in delivery. Is this a ""Fashion Freak"" Brand Product which i received in my order???#WorstExampleofApniDukan.",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
this is what I received in my 5 order. Please help!,Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Dear I didn't received my products {tracking id 5180758578866} , which was supposed to deliver on Oct 4.",Order Tracking / Status,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I've pre-ordered Star Wars Battlefront 2 but haven't received a code for early access to the beta. Please help.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"What reply when will I get my cashback ,,it was supposed to be received by 12th Nov ,,u guys have any shame left or not... not even one time u have given my due promised cashback without harrassing me.",Return / Refund,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Silly its a used product, that I have received.. Thats why the OLX part..duhh!! replace it asap",Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Order -4__credit_card__. Received pre-used item instead of brand new! Birthday gift for my niece now missed. Compensate loss ASAP,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
No boss..i have not received any mail. Pls resend it or else pls give me a call,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
tracking page says ‘delivery was received by <my name>’ but it wasn’t cos I’m at work!,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
"hey , how do i get a refund on something that was not delivered to the correct address therefore was never received",Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
"Hmmm I feel like my return got lost in the mail. Sent off on the 21st, still not received yet. How long does it normally take?",Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
It was yesterday and I received the reply like an hour ago,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I see. I did message earlier in the day but haven't received a reply. Bit worried as I don't want to miss out on it at that price just in case it is a Black Friday only deal. Would prefer to buy from Amazon direct but they didn't do a Black Friday price/deal on the note 8 ☹️,Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
done but nthng will happen i know,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
When your amazon prime package was to be delivered yesterday and tracking says they don't know when now??? Really???,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
I know. That’s y I am uninstalling Amazon app. You fooled me twice. I won’t forget that.,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"I don't have it, no",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I know we’re living in a knowledge economy but I don’t think that means you can send me empty packaging in the mail.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Why was a package I ordered from you delivered to a vacant house down the street? USPS mail carrier let me know.,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
I understand you guys are following up but it's already 72 hours past your initial timeline of 48-72 hours! Let me know a proper time line!,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
No .. but amazon are saying it’s not on my account so I don’t know where the charge is coming from,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
I'll have to check this when I get home and let you know. I've not had a text/email etc to even say the parcel is delivered.,Delivered but Not Received,"I'm sorry that your order is showing as delivered but you haven't received it. Please check around the delivery location and with household members or others who may have accepted the package. If it is still missing, please contact Amazon support so the delivery can be investigated.",True,True,True,True,4,GOOD
Physical as far as I know.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Just got charged fucking $50 for an prime account that I didn't even know I had.,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
I will not open my phone till the next 10 days. If you really value my words then do mean it and pass it to your seniors and let me know that you are ready to my phone back and give me a refund .Otherwise there is no point of sugarcoating stuff.This policy is wrong just accept it,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Hi. Could you please provide an update. Would be useful if you could let me know by when I can expect a refund of the money for which I received trash.,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
How do I know? I've been out since 7am so no idea how long it's been sat in full view of the street.,Product / App / Website Issue,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Thanks but why would i pre order if i eventually want to watch it streaming? Do u know when that will be possible?,Prime Membership / Benefits,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"I dont know if it is, because I have not received any calls or any confirmation regarding this. If only someone would call me about it.",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
2/2 which I can’t do as I don’t know how to package it or with what.,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"hi. Don't know whether it's your doing, but my consignment is coming today. Just got a message. Thanks :))",Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I just live-chatted and there is no resolution. They'll let me know new date when they get warehouse unloaded. Oh well. You're right. It is what it is.,Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
"I know it's a minor thing, but why can't I just opt my general account to support . Its hard to remember to smile.",Account / Login / Security,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Filled. Let's see how #responsible you people towards customer. Last 30days very frustrating.. lost #hope & #trust on Amazon. It's ur final,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Purchased a new mobile from Amazon and it's faulty.,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"iPhone 32 GB variant official price is 39,000/- In Amazon sale you guys charging us 45K is it fair?",Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Why did amazon feel the need to package my teenie tiny item like this,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Also your customer support accepted the ""Technical Glitch"" in the system? Should I expect emergency deployment at Amazon today? 🤗",Customer Support / Complaint,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
I want my product today . If Amazon have claims good service then this is time to prove it.,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"If the seller dont want to sell at dis price,why ur keeping this in ur amazon.I'm trying from two days to buy it, it showing error",Order Cancellation,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Still no resolution. Amazon is really Pathetic,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Error on Amazon Jobs site after completing survey. Android 5.1 and Chrome 61,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
#amazon #amazoindia are cheaters and don't buy products there. They have MF delivery boys,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Can't add money to Amazon Pay. On 21 Sept your executive said it will be solved in 48 hours. Is the period over yet?,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
The fact that my last 2 amazon orders haven't arrived even remotely on time is kind of annoying...,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
This is an unfair trade practice. Atleast tell me where can I read the policy and list of transactions prohibited through Amazon pay balance. There's nothing on website which confirms what you are saying,Payment / Billing,"Please review the payment and billing details for your order or membership. If you do not recognize the charge or need further clarification, please contact Amazon support.",True,True,True,True,4,GOOD
hai team amazon where is my refund amount,Return / Refund,"Please check the return or refund options available for your order from your Amazon orders page. If the refund or return is not progressing as expected, please contact Amazon support.",True,True,True,True,4,GOOD
Amazon is not believable for electronic device like iPhone! Save your money... 🙏🙏🙏,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
"Yes, due to a charge back for undelivered goods. Kind of important to unlock my account, since everything here is literally, Amazon.",Payment / Billing,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
My Amazon Echo has stopped working 4 days out of a 1 year warranty enjoy my money Amazon. Quality product merry xmas,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
missing component and your saying simply sorry wah Jeff this is how you run amazon USA ??,Wrong / Damaged / Defective Item,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
Great.... ... what is the procedure to become a seller in amazon .... i would really love to sell this fake for 2k...,Non-actionable / Exclude,This request should be reviewed by a human support agent.,True,True,True,True,4,GOOD
Told yesterday would now be priority before 10am today not arrived Birthday present for Grandson now too late #Amazon you lie and don’t care,Delivery Delay,This request should be reviewed by a human support agent.,True,True,True,False,3,PARTIAL
